Major,Majors_Numbers
Aeronautics and Astronautics,4
Art Practice,3
Biology,2
Biomechanical Engineering,1
Civil and Environmental Engineering,1
Communication,2
Computer Science,8
Economics,3
Human Biology,2
Mechanical Engineering,3
Music,1
Product Design,1
Psychology,1
"Science, Technology, and Society",1
Undeclared,77
